WEEK,MONTH,LAKES,TQG,PO,GR,PN
81,8,1,30434,0,.15,0
82,8,1,26139,0,.15,0
83,8,1,31075,0,.15,0
84,8,1,29433,0,.15,0
85,9,1,29136,0,.15,0
86,9,1,31126,0,.15,0
87,9,1,35384,0,.15,0
88,9,1,36701,0,.15,0
89,10,1,37771,0,.15,0
90,10,1,38247,0,.15,0
91,10,1,39518,0,.15,0
92,10,1,30603,0,.15,0
93,11,1,28383,0,.125,0
94,11,1,24678,0,.125,0
95,11,1,27839,0,.125,0
96,11,1,26767,0,.125,0
97,12,1,24041,0,.125,0
98,12,1,23355,0,.2,0
99,12,1,26491,0,.2,0
100,12,1,20900,0,.2,0
101,13,0,26410,0,.2,0
102,13,0,26195,0,.2,0
103,13,0,22427,0,.2,0
104,13,0,27535,0,.125,0
105,1,0,25738,0,.125,0
106,1,0,23429,0,.125,1
107,1,0,32745,0,.125,1
108,1,0,37950,0,.125,1
109,2,0,41466,1,.2,1
110,2,0,49276,1,.2,1
111,2,0,37850,1,.2,1
112,2,0,32893,1,.2,1
113,3,0,24410,1,.2,1
114,3,0,15104,1,.2,1
115,3,0,13819,1,.2,1
116,3,0,22959,1,.25,1
117,4,0,14486,1,.25,1
118,4,0,15254,1,.25,1
119,4,0,16607,1,.25,1
120,4,1,17475,1,.25,1
121,5,1,12704,1,.25,1
122,5,1,14399,1,.25,1
123,5,1,12023,1,.25,1
124,5,1,9626,1,.25,1
125,6,1,6482,1,.25,1
126,6,1,10520,1,.25,1
127,6,1,12588,1,.25,1
128,6,1,12468,1,.25,1
129,7,1,10930,1,.25,1
130,7,1,10997,1,.25,1
131,7,1,8618,1,.25,1
132,7,1,4810,1,.25,1
133,8,1,5832,1,.25,1
134,8,1,8536,1,.25,1
135,8,1,11204,1,.25,1
136,8,1,10591,1,.25,1
137,9,1,9978,1,.25,1
138,9,1,9374,1,.25,1
139,9,1,19466,1,.25,1
140,9,1,23085,1,.25,1
141,10,1,18981,1,.25,1
142,10,1,16595,1,.25,1
143,10,1,13182,1,.25,1
144,10,1,11626,1,.25,1
145,11,1,12996,1,.25,1
146,11,1,14852,1,.25,1
147,11,1,11508,1,.25,1
148,11,1,12996,1,.25,1
149,12,1,17942,1,.25,1
150,12,1,15498,1,.25,1
151,12,1,18121,1,.25,1
152,12,1,17914,1,.25,1
153,13,0,21217,1,.3,1
154,13,0,22418,1,.3,1
155,13,0,26230,1,.3,1
156,13,0,26458,1,.3,1
157,1,0,36168,1,.3,1
158,1,0,30721,1,.3,1
159,1,0,41071,1,.3,1
160,1,0,28865,1,.3,1
161,2,0,29221,1,.3,1
162,2,0,22245,1,.3,1
163,2,0,20377,1,.3,1
164,2,0,36343,0,.3,0
165,3,0,33227,1,.3,1
166,3,0,33806,1,.3,1
167,3,0,43998,1,.3,1
168,3,0,45342,1,.3,1
169,4,0,45659,1,.3,1
170,4,0,30864,1,.3,1
171,4,0,16522,1,.3,1
172,4,1,20085,1,.3,1
173,5,1,18262,0,.25,0
174,5,1,19415,0,.25,0
175,5,1,22792,1,.25,1
176,5,1,23903,1,.25,1
177,6,1,14761,1,.25,1
178,6,1,10901,1,.25,1
179,6,1,14868,1,.25,1
180,6,1,17271,1,.25,1
181,7,1,16179,1,.25,1
182,7,1,15576,1,.25,1
183,7,1,12292,1,.25,1
184,7,1,7627,1,.25,1
185,8,1,9888,1,.25,1
186,8,1,11080,1,.25,1
187,8,1,13782,1,.25,1
188,8,1,15181,1,.25,1
189,9,1,11906,1,.25,1
190,9,1,14763,1,.25,1
191,9,1,22934,1,.25,1
192,9,1,23252,0,.25,0
193,10,1,25164,0,.2,0
194,10,1,33879,1,.2,1
195,10,1,32428,1,.25,1
196,10,1,31256,1,.25,1
197,11,1,27805,1,.25,1
198,11,1,34663,1,.25,1
199,11,1,30187,1,.25,1
200,11,1,27277,1,.25,1
201,12,1,29521,1,.25,1
202,12,1,31280,1,.25,1
203,12,1,30601,1,.25,1
204,12,1,31553,1,.25,1
205,13,0,42735,1,.3,1
206,13,0,28241,1,.3,1
207,13,0,29221,1,.3,1
208,13,0,27894,1,.3,1
209,1,0,21911,1,.3,1
210,1,0,16685,1,.3,1
211,1,0,23504,1,.2,1
212,1,0,41210,1,.3,1
213,2,0,35058,1,.3,1
214,2,0,27065,1,.3,1
215,2,0,29404,0,.3,0
216,2,0,25269,0,.3,0
217,3,0,29219,0,.3,0
218,3,0,29291,0,.3,0
219,3,0,29217,0,.3,0
220,3,0,32643,0,.3,0
221,4,0,37902,0,.2,0
222,4,0,53282,0,.15,0
223,4,0,70793,0,.15,0
224,4,0,76407,0,.15,0
225,5,0,65944,0,.15,0
226,5,0,51242,0,.15,0
227,5,1,42464,0,.15,0
228,5,1,36603,0,.15,0
229,6,1,32376,0,.15,0
230,6,1,37927,0,.15,0
231,6,1,37905,0,.15,0
232,6,1,34782,0,.15,1
233,7,1,43146,0,.15,1
234,7,1,38104,1,.15,1
235,7,1,41901,1,.2,1
236,7,1,25829,1,.2,1
237,8,1,15480,1,.2,1
238,8,1,18461,1,.2,1
239,8,1,20716,0,.25,1
240,8,1,14492,0,.25,1
241,9,1,13004,0,.25,1
242,9,1,16754,0,.25,1
243,9,1,23268,0,.25,1
244,9,1,18972,0,.15,1
245,10,1,15531,0,.15,1
246,10,1,17154,0,.15,1
247,10,1,23416,0,.15,1
248,10,1,26541,0,.15,1
249,11,1,33592,1,.15,1
250,11,1,36235,1,.25,1
251,11,1,22372,1,.25,1
252,11,1,23876,1,.25,1
253,12,1,31600,1,.25,1
254,12,1,31419,0,.25,0
255,12,1,27814,1,.25,1
256,12,1,32530,1,.25,1
257,13,1,33624,1,.25,1
258,13,0,34718,1,.25,1
259,13,0,35812,1,.25,1
260,13,0,26844,1,.25,1
261,1,0,16938,1,.25,1
262,1,0,19362,1,.2,1
263,1,0,29761,0,.2,1
264,1,0,43777,0,.2,1
265,2,0,32995,0,.2,1
266,2,0,50340,1,.2,1
267,2,0,52131,1,.25,1
268,2,0,30913,1,.25,1
269,3,0,22887,1,.25,1
270,3,0,30911,1,.25,1
271,3,0,36354,0,.25,0
272,3,0,38989,0,.2,0
273,4,0,47087,0,.2,0
274,4,0,44805,0,.2,0
275,4,0,46694,0,.2,0
276,4,0,54188,0,.2,0
277,5,0,40650,0,.2,0
278,5,0,34674,0,.2,0
279,5,0,27430,0,.2,0
280,5,0,53360,0,.15,0
281,6,1,43018,0,.15,0
282,6,1,33691,0,.15,0
283,6,1,27424,0,.15,0
284,6,1,30120,0,.15,0
285,7,1,30488,0,.15,0
286,7,1,31223,0,.15,0
287,7,1,21562,0,.15,0
288,7,1,24892,0,.15,0
289,8,1,20864,0,.15,0
290,8,1,19128,0,.15,0
291,8,1,9778,0,.2,0
292,8,1,7528,0,.2,0
293,9,1,15773,0,.2,0
294,9,1,10737,0,.15,0
295,9,1,20881,0,.15,0
296,9,1,20970,0,.15,0
297,10,1,22835,0,.15,0
298,10,1,30986,0,.15,0
299,10,1,35308,0,.15,0
300,10,1,40034,0,.15,0
301,11,1,44776,0,.15,0
302,11,1,36288,0,.2,1
303,11,1,27158,0,.2,1
304,11,1,14622,0,.2,1
305,12,1,15259,0,.2,1
306,12,1,14680,0,.2,1
307,12,1,15114,0,.2,1
308,12,1,17686,1,.2,1
309,13,1,36336,1,.2,1
310,13,0,22569,1,.2,1
311,13,0,23342,1,.2,1
312,13,0,21269,1,.2,1
313,1,0,18340,1,.2,1
314,1,0,19440,1,.25,1
315,1,0,17056,0,.25,1
316,1,0,10713,0,.25,1
317,2,0,12836,0,.25,1
318,2,0,12344,0,.25,1
319,2,0,17868,0,.25,1
320,2,0,22789,0,.25,1
321,3,0,34851,0,.25,1
322,3,0,29997,0,.25,1
323,3,0,34010,0,.25,1
324,3,0,19686,1,.25,1
325,4,0,14757,1,.25,1
326,4,0,16502,1,.25,1
327,4,0,11490,1,.25,1
328,4,0,7843,1,.25,1
